article_id,article_title,article_date,event,location_prediction,date_prediction_text,date_prediction_value
28,"Aamir Khan Talks About Failed Relationships, 'The Kashmir Files' Wins Hearts And More From Ent!",2022-03-14T13:35:36+00:00,"Owing to the popularity and the significance of a movie like 'The Kashmir Files,' the Madhya Pradesh government today announced that policemen in Madhya Pradesh would be granted leave to watch 'The Kashmir Files.","['Madhya', 'Pradesh', 'Kashmir', 'Files']",today,THIS P1D
29,The Kashmir Files Director Vivek Agnihotri Given Y-Category Security Over Controversy,2022-03-18T10:35:28+00:00,"The Kashmir Files director Vivek Agnihotri has been given Y security cover by the central government, news agency ANI reported.",[],,
29,The Kashmir Files Director Vivek Agnihotri Given Y-Category Security Over Controversy,2022-03-18T10:35:28+00:00,The Kashmir Files director Vivek Agnihotri will be guarded by seven to eight commandos of the CRPF round the clock.,[],,
30,New Zealand's Ex Deputy PM Supports 'The Kashmir Files' After It Creates Row In The Country,2022-03-20T12:35:29+00:00,This happened after the Muslim community raised concerns over the content of the film.,[],,
31,"'Emotions On Screen Were Real', Anupam Kher's Niece On Shooting The Kashmir Files' Grim Climax",2022-03-22T06:15:31+00:00,Vrinda Kher revealed that Bhasha Sumbli broke down while shooting for The Kashmir Files climax scene and that the 'emotions that came out were real'.,['Kashmir'],,
32,"Chhatisgarh CM Criticises The Kashmir Files, Sharmaji Namkeen Trailer Releases And More From Ent",2022-03-17T13:15:33+00:00,Chhatisgarh CM Bhupesh Baghel said that The Kashmir Files shows only one side of the story.,[],,
32,"Chhatisgarh CM Criticises The Kashmir Files, Sharmaji Namkeen Trailer Releases And More From Ent",2022-03-17T13:15:33+00:00,"On the other hand, Sharmaji Namkeen trailer made fans emotional as fans remembered Rishi Kapoor.",[],,
32,"Chhatisgarh CM Criticises The Kashmir Files, Sharmaji Namkeen Trailer Releases And More From Ent",2022-03-17T13:15:33+00:00,"Here's all that, and more from the world of entertainment today.",[],today,THIS P1D
33,Dalit Man Forced To Rub Nose In Temple For Criticising 'The Kashmir Files'; 7 People Arrested,2022-03-24T07:30:32+00:00,Here's what happened.,[],,
34,"Kangana Slams Bollywood For Snubbing 'The Kashmir Files', Madhuri-Karisma's Pic Goes Viral And More From Ent",2022-03-13T12:50:31+00:00,"Kangana Ranaut, who has always been vocal about box office collections and movie releases, took to Kangana Ranaut, who has always been vocal about box office collections and movie releases's Instagram account to slam Bollywood for Bollywood's prolonged silence.",[],,
35,Security Forces Claim They Have Shot Down A 'Journalist-Turned-Terrorist' In Srinagar Encounter,2022-03-30T07:45:32+00:00,"Security forces neutralised two terrorists during an encounter in the Rainawari area of Srinagar on early Wednesday morning.According to the Jammu & Kashmir Police, one of two terrorists, identified as Rayees Ahmad Bhat, was a former journalist who ran an online news portal ‘Valley News Service’ in Anantnag.",['Rainawari'],early Wednesday,XXXX-WXX-3
36,"The Kashmir Files movie declared tax-free in Gujarat, Madhya Pradesh",2022-03-13T12:20:34+00:00,"Haryana was the first state to give tax exemption to the movie, with the state government asking cinema theatres and multiplexes to not charge state GST.",['Haryana'],,
37,This Is Not Paris Or Tokyo: It's India's Kashmir Valley During The Magical Spring Season,2022-03-17T11:50:32+00:00,"After the severe cold and record snowfall, the spring season has knocked Kashmir.",['Kashmir'],spring,XXXX-SP
37,This Is Not Paris Or Tokyo: It's India's Kashmir Valley During The Magical Spring Season,2022-03-17T11:50:32+00:00,"As spring arrives in Kashmir valley, take a look at some breathtaking pictures seen with the blossom of almond flowers.",['Kashmir'],spring,XXXX-SP
38,Climbing Towers And Trekking Mountains: A Day In The Life Of Power Lineman In Kashmir,2022-03-27T08:20:39+00:00,"Whenever snowfall or a natural calamity hits Kashmir, the first casualty is the power supply, but there are unseen hands behind who ensure that the power supply gets restored at the earliest and unseen hands behind who ensure that it gets restored at the earliest are Power Development Department (PDD) daily wager linemen who work hard on the ground and forget their comfort for others.",['Kashmir'],,
40,"The Kashmir Files movie download links being shared on WhatsApp may be fraud, warns police",2022-03-17T07:51:05+00:00,"The fraudulent link received on WhatsApp convinces users to click The fraudulent link received on WhatsApp if users want to download The Kashmir Files movie in high quality for free, said the police.",['Kashmir'],,
41,"Anupam Kher Reacts To Bollywood's Silence On Kashmir Files' Success, Says Salman Khan Called Him",2022-03-27T11:40:31+00:00,He said that Salman Khan called He to congratulate He personally.,[],,
42,"'Kahaniya Toh Bohot Boli Gayi, Humein Sach Batana Tha', Says The Kashmir Files Writer Saurabh M Pandey",2022-03-18T09:10:30+00:00,"In conversation with TOI, The Kashmir Files' writer Saurabh M Pandey talked about The Kashmir Files' writer Saurabh M Pandey's experience of writing the script and how The Kashmir Files' writer Saurabh M Pandey's 'mind went numb while interviewing victims of the genocide'.","['Kashmir', 'Kashmir']",,
43,#BoycottKapilSharmaShow Trends After Vivek Agnihotri Claims Kapil Refused To Invite Him On Show,2022-03-08T09:50:29+00:00,"Taking a dig at Kapil Sharma, Vivek Agnihotri bashed The Kapil Sharma Show for refusing to promote The Kashmir Files on The Kapil Sharma Show.",['Kashmir'],,
44,Karnataka becomes 4th state to make Anupam Kher’s ‘The Kashmir Files’ tax free ,2022-03-14T05:15:33+00:00,"Prior to Karnataka, the film has been made tax-free in Gujarat, Haryana and Madhya Pradesh.","['Karnataka', 'Gujarat', 'Haryana', 'Madhya', 'Pradesh']",,
45,"Meet The 'Pizza Man' Of Kashmir, Who Started With An Idea Of Just Putting Chicken On Roti",2022-03-12T10:25:29+00:00,"This is the story of 40-year-old Kashmiri entrepreneur Tariq Ahmad Bhat, the owner of Amgio’s- the valley’s popular and first local brand of pizza.",[],,
46,'Jhund' Producer Questions Criteria For Making 'The Kashmir Files' Tax Free But Not Her Film,2022-03-20T12:35:29+00:00,She questions why She's film was not made tax-free and what is the criteria for making The Kashmir Files tax free in several states of India.,"['Kashmir', 'Files']",,
47,Madhya Pradesh Government Issues Notice To IAS Officer Over Tweets On 'The Kashmir Files',2022-03-23T13:05:33+00:00,"He is violating the limits that are set for government officials, He said.",[],,
48,"IAS Officer Asks The Kashmir Files Makers To Donate Profits To Brahmin Kids, Sparks Controversy",2022-03-21T11:40:33+00:00,"He also urged the makers to make another film on ""killings of a large number of Muslims across several states.""",[],,
49,"'You Are Muslim, You'll Support Terrorism,' Adil Hussain Trolled Over 'The Kashmir Files' Tweet",2022-03-20T08:20:33+00:00,He said that the film could have been tender.,[],,
50,"'My Family Escaped Hidden In The Back Of A Truck', Sandeepa Dhar After Watching The Kashmir Files",2022-03-18T04:50:31+00:00,"After watching The Kashmir Files, Sandeepa Dhar, in a long Instagram note, opened up about how Sandeepa Dhar's family had to escape her family's homeland while being 'hidden in the back of a truck'.","['Kashmir', 'Files', 'Sandeepa', 'Sandeepa']",,
51,"Aamir Khan Praises 'The Kashmir Files', Says Every Indian Must Watch This Vivek Agnihotri Film",2022-03-21T08:20:30+00:00,The Bollywood star said that every Indian must watch the movie and recall how a person feels when a person goes through such trauma.,[],,
52,"'Makers Had The Guts To Portray The Truth', The Kashmir Files Gets A Big Nod From PM Modi",2022-03-15T12:25:35+00:00,"PM Narendra Modi, while speaking at the BJP's parliamentary party meeting, said that the makers of The Kashmir Files 'had the guts to portray the truth'.",['Kashmir'],,
53,"Shilpa Shetty Performs Holika Dahan, The Kashmir Files Writer Talks About The Film And More From Ent",2022-03-18T09:10:30+00:00,Shilpa Shetty performed Holika Dahan and wished Shilpa Shetty's fans on the special occasion.,[],,
53,"Shilpa Shetty Performs Holika Dahan, The Kashmir Files Writer Talks About The Film And More From Ent",2022-03-18T09:10:30+00:00,"On the other hand, The Kashmir Files writer opened up about writing the script of the film.","['Kashmir', 'Files']",,
54,"The Kashmir Files ने पहले हफ्ते में Box Office पर रचा इतिहास, वीकेंड पर बना सकती है नया रिकॉर्ड",2022-03-18T07:21:52+00:00,The Kashmir Files First Week Box Office Collection: विवेक अग्‍न‍िहोत्री की फिल्‍म 'द कश्‍मीर फाइल्‍स' ने पहले हफ्ते में ऐतिहासिक 95.50...,['Kashmir'],First Week,P1W-#1
55,"Anupam Kher Slams Kapil Sharma, Ranbir Kapoor On Rishi Kapoor's Last Film And More From Ent",2022-03-16T14:25:35+00:00,"On the other hand, Ranbir Kapoor, in an emotional video message, thanked Paresh Rawal for helping them complete Rishi Kapoor's swan-song, Sharmaji Namkeen.",[],,
56,Siddaramaiah Claims Theatres Are Being Forced To Screen The Kashmir Files Instead Of James,2022-03-23T09:20:29+00:00,"Speaking to the media, Siddaramaiah said that BJP leaders are forcing movie theatres to screen The Kashmir Files instead of James.",['Kashmir'],,
56,Siddaramaiah Claims Theatres Are Being Forced To Screen The Kashmir Files Instead Of James,2022-03-23T09:20:29+00:00,Siddaramaiah alleged that the producer of James had come up to Siddaramaiah and told Siddaramaiah about the issue,['Siddaramaiah'],,
57,"'Was Laughing At BJP, Not Kashmiri Pandits', Arvind Kejriwal On His 'The Kashmir Files' Speech",2022-03-28T13:20:31+00:00,Delhi CM Arvind Kejriwal has reacted to criticism.,[],,
58,The Kashmir Files Controversies: Why Screenings Are Getting Halted & People Are Being Assaulted,2022-03-12T11:55:28+00:00,Here's what's happening.,[],,
59,MP Cops To Get Leave To Watch 'The Kashmir Files'; Home Minister Instructs DGP,2022-03-14T11:10:35+00:00,Madhya Pradesh government today announced that policemen in Madhya Pradesh would be granted leave to watch the recently-released film.,"['Madhya', 'Pradesh']",today,THIS P1D
60,'The Kashmir Files' Salaries: Here's How Much Money These Actors Reportedly Earned For The Film,2022-03-23T10:15:29+00:00,Vivek Agnihotri charged Rs 1 crore to direct the movie.,[],,
61,Twitter User Explains How IMDb Ratings Can Be Manipulated After 'The Kashmir Files' Controversy,2022-03-20T10:40:28+00:00,"In a thread, he explains how The Kashmir Files managed to get a ten-on-ten score.","['Kashmir', 'Files']",,
62,"The Kashmir Files Gets A Big Nod From PM Modi, Neena Gupta Slams Trolls And More From Ent",2022-03-15T13:05:36+00:00,The Kashmir Files got a big thumbs up from PM Narendra Modi as PM Narendra Modi lauded the makers for 'having the guts to show the truth'.,[],,
62,"The Kashmir Files Gets A Big Nod From PM Modi, Neena Gupta Slams Trolls And More From Ent",2022-03-15T13:05:36+00:00,"On the other hand, Neena Gupta shared a video slamming trolls who judge people on the basis of what people wear.",[],,
63,"'Wish You Had Posted The Full Video', Says Anupam Kher After Kapil Sharma's Tweet On The Kashmir Files",2022-03-16T09:15:29+00:00,Kapil thanked Anupam Kher for clarifying 'the false allegations against Kapil' in a tweet.,[],,
63,"'Wish You Had Posted The Full Video', Says Anupam Kher After Kapil Sharma's Tweet On The Kashmir Files",2022-03-16T09:15:29+00:00,Anupam Kher gave a cryptic reply and told Kapil that Kapil should have shared the whole video and not the half truth.,[],,
64,Spring Theatre Festival: Hope For Revival Of Theatres In Kashmir,2022-04-01T12:55:33+00:00,"On the occasion of World Theatre Day, Actors’ Creative Theatre (ACT) in collaboration with J&K Academy of Art, Culture and Languages (JKAACL) inaugurated the second edition of ‘Spring Theatre Festival’ at Tagore Hall, Srinagar.","['Tagore', 'Hall']",Spring,XXXX-SP
64,Spring Theatre Festival: Hope For Revival Of Theatres In Kashmir,2022-04-01T12:55:33+00:00,the second edition of ‘Spring Theatre Festival’ will conclude on 2nd April.,[],2nd April,XXXX-04-02
66,Kashmir Carpet Artisans Get Hope As The Dying Industry Gets GI Tag,2022-04-28T08:50:28+00:00,The 45-year-old Bashir Ahmad Dar is busy weaving Kashmiri silk carpet on a wooden loom in Sonawari village in north Kashmir’s Bandipora district with a hope that government provided Geographical Indication (GI) tag will help them to boost them's business and fight counter branding.,"['Sonawari', 'Kashmir', 'Bandipora']",,
67,"Malaika Arora Discharged From Hosiptal, Karan Johar Praises The Kashmir Files And More From Ent",2022-04-03T14:45:30+00:00,Here is all that rocked the world of entertainment today.,[],today,THIS P1D
68,Former Civil Service Topper Shah Faesal Who Quit IAS Over Kashmir Reinstated,2022-04-29T06:15:28+00:00,"Faesal resigned as a civil servant in January 2019 to ""protest against the unabated killings in Kashmir"" following the revocation of Article 370.",['Kashmir'],January 2019,2019-01
69,Special Spiritual Time For Kashmir As Local Boy Develops Valley’s First Offline Ramadan App,2022-04-18T11:35:31+00:00,"Bringing the much needed relief in the lives of Kashmiri Muslims that too in the holy month of Ramadan, a Srinagar based software engineer has developed valley’s first online and offline the holy month of Ramadan app.",[],the holy month,THIS P1M
70,"From Will Smith's Slap To Kashmir Files Wave, Here's What Twinkle Khanna's New Blog Is About",2022-04-03T13:40:32+00:00,"Coffee in hand, I sit in the balcony trying to analyse the cognitive dissonance that led to the moment when Will Smith, in the pursuit of Will Smith's wife’s happiness, clambered onto the stage and slapped Chris Rock for joking about Jada’s appearance.",[],,
71,"'May God Give Justice To All', Says Vivek Agnihotri As Terrorist Bitta Karate's Trial Begins",2022-04-01T11:05:30+00:00,The Kashmir Files director Vivek Agnihotri came out in support of Satish Tickoo's family and hoped that Satish Tickoo's family get justice in the case against terrorist Bitta Karate.,[],,
72,"After The Kashmir Files' Sucess, Vivek Agnihotri Announces His Next Movie 'The Delhi Files'",2022-04-17T07:50:29+00:00,Here is how fans reacted to this.,[],,
73,"""That's My India"": Picture Of Indian Army Officers Offering Namaz In Kashmir Wins Hearts",2022-04-26T07:25:33+00:00,"In the picture, Lt Gen DP Pandey, Corps Commander 15 Corps, can be seen praying along with a Sikh officer, other senior officers and troops during the holy month of Ramzan.",[],the holy month,THIS P1M
74,"'It's Not A Joke', Twinkle Khanna Leaves Twitter Fuming After Taking A Jibe At The Kashmir Files",2022-04-07T10:45:31+00:00,Twinkle Khanna aka Mrs Funny Bones took a jibe at The Kashmir Files in Twinkle Khanna aka Mrs Funny Bones's recent writeup.,"['Kashmir', 'Files', 'Twinkle', 'Khanna']",,
74,"'It's Not A Joke', Twinkle Khanna Leaves Twitter Fuming After Taking A Jibe At The Kashmir Files",2022-04-07T10:45:31+00:00,Twitter users are calling Twinkle Khanna aka Mrs Funny Bones insensitive.,[],,
75,"After The Kashmir Files, Vivek Agnihotri And Pallavi Joshi To Work On Two More Films Together",2022-04-11T12:20:31+00:00,They would work on two more films based on unreported stories from Indian history.,[],,
76,"Don't Go To Pakistan For Higher Studies, Degrees Are Not Recognised: What UGC, AICTE Said",2022-04-23T06:40:27+00:00,"Earlier, the UGC had issued an advisory in 2019 against studying in institutes in Pakistan-occupied Kashmir.",['Kashmir'],2019,2019
77,"Delhi to Srinagar road travel to take just 8 hrs soon, says Nitin Gadkari",2022-04-06T03:20:35+00:00,"Union Minister for Road, Transport and Highways Nitin Gadkari said that the government was taking up many important infrastructure projects in Jammu and Kashmir that will improve connectivity in Jammu and Kashmir.","['Kashmir', 'Kashmir']",,
78,"Karan Johar Praises 'The Kashmir Files', Says 'It's No Longer A Film, It's A Movement'",2022-04-03T10:20:32+00:00,Here's what he said.,[],,
79,'The Kashmir Files' Director Vivek Agnihotri Shares Why India Needs A 'Genocide Museum',2022-04-26T20:00:32+00:00,"Apart from giving a tour of the Holocaust museum in DC, he also explained that India also needs one since several unheard and untold stories need a platform to be conveyed across the globe.",[],,
80,Confident Young Girl Has The Best Things To Say About Her Trip To Kashmir & People Are All Praises,2022-04-17T12:45:41+00:00,"A little girl's detailed review about Kashmir, A little girl's's confidence and innocence is winning several hearts on the internet..",['Kashmir'],,
81,Akshay Kumar&#039;s Bachchhan Paandey to premier on Amazon Prime on this date,2022-04-13T08:15:34+00:00,"Although a potential blockbuster, the film did not have a successful run at the box office as the film's business was massively hindered by the unexpected success of The Kashmir Files.","['Kashmir', 'Files']",,
82,Pakistan objects to PM Modi&#039;s Kashmir visit,2022-04-25T07:55:31+00:00,"The Foreign Office here termed Prime Minister Modi's visit to the Valley as ""yet another ploy to project fake normalcy"" in the Valley.",[],,
83,"The Kashmir Files Is A Roaring Success, Becomes 1st Hindi Film To Cross Rs 250 Cr Post Pandemic",2022-04-12T08:05:32+00:00,The film is shattering box office record one after the other.,[],,
84,'Restriction Only On Niqab': Army Clarifies After Circular Banning Hijab In Baramulla School,2022-04-28T06:25:28+00:00,The circular had turned into a major controversy in Jammu and Kashmir.,['Kashmir'],,
85,Meals On Wheels: This MBA Is Establishing A Street Food Culture In Kashmir Valley,2022-04-10T06:45:31+00:00,"In Kashmir, street food culture has got a boost after the opening of ‘Chew N Brew - Eat On The Go’- a mobile food van in Srinagar city.",['Kashmir'],,
85,Meals On Wheels: This MBA Is Establishing A Street Food Culture In Kashmir Valley,2022-04-10T06:45:31+00:00,‘Chew N Brew - Eat On The Go’- a mobile food van is first of ‘Chew N Brew - Eat On The Go’- a mobile food van's kind in the valley.,[],,
86,They will keep troubling us till elections: Farooq Abdullah on ED summons,2022-05-31T09:01:02+00:00,He appeared before the ED in the ED's Srinagar office in connection with Jammu and Kashmir Cricket Association scam,[],,
87,Four militants shot dead in twin anti-militancy operations in Kashmir,2022-05-27T02:46:30+00:00,"A total of 10 terrorists, from JeM and LeT were killed in three days in Kashmir valley, says IGP",['Kashmir'],,
88,"Setting A World Record, Kashmir Files Releases On OTT With Indian Sign Language Interpretation",2022-05-13T07:40:30+00:00,"The Kashmir Files, which premiered at the box office with a record-breaking run, is now set to premiere on ZEE5 on 13th May in Hindi, Tamil, Telugu, Kannada, and Indian Sign Language.",['Kannada'],13th May,XXXX-05-13
88,"Setting A World Record, Kashmir Files Releases On OTT With Indian Sign Language Interpretation",2022-05-13T07:40:30+00:00,"To commemorate premiere, ZEE5 hosted a special screening of The Kashmir Files, which premiered at the box office with a record-breaking run in Indian Sign Language, which drew 500 people with hearing impairment.",[],,
88,"Setting A World Record, Kashmir Files Releases On OTT With Indian Sign Language Interpretation",2022-05-13T07:40:30+00:00,"Director Vivek Agnihotri, Director Vivek Agnihotri's wife, actor Pallavi Joshi, and actor Darshan Kumaar attended a special screening of 'The Kashmir Files' in Indian Sign Language, which drew 500 people with hearing impairment.",[],,
89,How Kashmir Artists Are Preserving The Pahari Language Through Music,2022-05-15T07:15:28+00:00,Pahari people of Kashmir have almost forgotten Pahari people of Kashmir's language and in fact many even don’t know how to speak.,"['Kashmir', 'Kashmir']",,
89,How Kashmir Artists Are Preserving The Pahari Language Through Music,2022-05-15T07:15:28+00:00,Pahari people across the valley have shifted to cities for jobs and studies that is being considered one of the primary reasons for the dying of their language.,[],,
90,"J&amp;K delimitation panel makes final report public, reserves two seats for Pandits",2022-05-05T11:51:24+00:00,43 seats for Jammu division and 47 for Kashmir division demarcated; nine seats reserved for STs for the first time,['Kashmir'],,
91,Pakistan condemns conviction of Yasin Malik,2022-05-20T07:41:40+00:00,"Yasin Malik, a Hurriyat leader and chief of the banned Jammu and Kashmir Liberation Front, was convicted on May 19 by Delhi High Court, in a terror funding case dating back to 2017",[],2017,2017
92,Several feared dead as taxi-van skids off high-altitude pass in Kashmir,2022-05-26T03:07:31+00:00,The incident happened at Zojila Pass off the Srinagar-Leh National Highway,"['Zojila', 'Pass', 'Srinagar', '-', 'Leh', 'National', 'Highway']",,
93,"From Music To Poetry Sessions: With Peace, First Cultural Festival Held Near LoC In Kashmir",2022-05-28T11:20:28+00:00,"In a first, the remote Uri area of J&K witnessed a three day cultural festival near Line of Control (LoC), bringing the hope for peace and tourism on the borders.",[],,
94,Two terrorists killed in encounter in J-K’s Kulgam,2022-05-08T10:01:23+00:00,"Haider has been active in north Kashmir for more than two years and is involved in several terror crimes, the IGP Kashmir said",['Kashmir'],,
95,Shashi Tharoor-Vivek Agnihotri Fight Over 'The Kashmir Files' Ban In Singapore; Here's What Happened,2022-05-10T19:30:34+00:00,The debate began after the former union minister posted that the ‘Kashmir Files’ film had been banned in Singapore for being “provocative” and “one-sided.”,[],,
96,Pak&#039;s relationship with India &#039;particularly complicated&#039; by New Delhi&#039;s decisions on Kashmir: Bilawal,2022-05-20T04:30:32+00:00,"Foreign Minister Bilawal, who is on a maiden visit to the US, made the remarks while responding to questions during a press conference here on Thursday.",[],Thursday,XXXX-WXX-4
97,The Kashmir Files Press Event Cancelled Over 'Islamophobia'; Vivek Agnihotri Blames Hate Campaign,2022-05-06T11:30:31+00:00,"The aim behind the campaign was to debunk myths, accusations and impact of The Kashmir Files.","['Kashmir', 'Files']",,
